"Before" "After"
"1" 1373.69879662441 1385.71378333909
"2" 561.25297366473 572.527257497483
"3" 1187.53926580756 1206.67348931346
"4" 1485.26473573771 1500.29173762785
"5" 493.391993852176 514.496287089272
"6" 1612.72466538336 1625.99890802602
"7" 740.414728996007 767.900951812796
"8" 1629.18607524760 1638.84278898943
"9" 1400.84544242077 1416.72309312449
"10" 876.041854101485 897.010254569655
"11" 916.562588941726 932.836567961855
"12" 1636.98364145442 1658.62002145157
"13" 959.84132491969 992.714612410012
"14" 1017.69179539786 1039.08180895745
"15" 1772.82384990817 1784.74260087829
"16" 1090.70725419258 1115.91328128185
"17" 844.269315969475 852.875243034519
"18" 1321.96961846377 1340.37906458620
"19" 1129.91624518684 1160.09779348562
"20" 1390.97554840795 1420.57009047887
"21" 972.390188717858 1003.38162626665
"22" 1569.27079114641 1589.31383821681
"23" 1310.26056284037 1339.37908889193
"24" 874.398946358073 897.43846625112
"25" 863.37623875138 874.543806264108
"26" 1618.85427949275 1654.7019389732
"27" 1663.58721171784 1679.05685974624
"28" 1366.83505828692 1376.74611385022
"29" 822.717447506432 842.322117445087
"30" 1305.8518230396 1313.48496104353
"31" 2010.82806765634 2024.12248175887
"32" 1251.09377462735 1269.69038331840
"33" 1691.04654427750 1694.06834481809
"34" 1311.64820276166 1321.63502714636
"35" 1141.47252963815 1153.74145105584
"36" 1200.99528243691 1202.30730655349
"37" 1808.61663640095 1833.65808336106
"38" 1254.70797201087 1274.45562953503
"39" 1475.13794663539 1480.59425582125
"40" 1535.46063838769 1531.53565667895
"41" 1605.77726241586 1624.56666796020
"42" 1335.70839958068 1351.43656513584
"43" 1208.79211703843 1239.68140239823
"44" 1698.78035771303 1700.42647023202
"45" 1847.77549504872 1877.00371220000
"46" 1304.17462719817 1315.33696659128
"47" 1390.08912890289 1409.77897791576
"48" 760.957437094856 777.442134925487
"49" 842.51808870037 868.772311418036
"50" 2281.38238059781 2301.40156134896
